ix,iy,alon,alat,JAN00Z,JAN03Z,JAN06Z,JAN09Z,JAN12Z,JAN15Z,JAN18Z,JAN21Z,FEB00Z,FEB03Z,FEB06Z,FEB09Z,FEB12Z,FEB15Z,FEB18Z,FEB21Z,MAR00Z,MAR03Z,MAR06Z,MAR09Z,MAR12Z,MAR15Z,MAR18Z,MAR21Z,APR00Z,APR03Z,APR06Z,APR09Z,APR12Z,APR15Z,APR18Z,APR21Z,MAY00Z,MAY03Z,MAY06Z,MAY09Z,MAY12Z,MAY15Z,MAY18Z,MAY21Z,JUN00Z,JUN03Z,JUN06Z,JUN09Z,JUN12Z,JUN15Z,JUN18Z,JUN21Z,JUL00Z,JUL03Z,JUL06Z,JUL09Z,JUL12Z,JUL15Z,JUL18Z,JUL21Z,AUG00Z,AUG03Z,AUG06Z,AUG09Z,AUG12Z,AUG15Z,AUG18Z,AUG21Z,SEP00Z,SEP03Z,SEP06Z,SEP09Z,SEP12Z,SEP15Z,SEP18Z,SEP21Z,OCT00Z,OCT03Z,OCT06Z,OCT09Z,OCT12Z,OCT15Z,OCT18Z,OCT21Z,NOV00Z,NOV03Z,NOV06Z,NOV09Z,NOV12Z,NOV15Z,NOV18Z,NOV21Z,DEC00Z,DEC03Z,DEC06Z,DEC09Z,DEC12Z,DEC15Z,DEC18Z,DEC21Z
91,69,67.5,39,81.5,82.764,67.226,58.461,68.393,82.758,87.67,84.858,79.402,80.15,67.13,54.089,54.128,72.304,78.184,78.922,86.282,86.818,63.942,55.943,59.441,77.694,88.512,90.716,89.207,83.222,59.129,54.767,56.091,72.002,85.714,89.289,88.809,72.879,55.968,52.867,55.62,67.825,84.12,89.776,75.432,53.007,34.27,32.817,32.653,40.379,57.66,70.812,77.164,58.754,38.731,36.528,39.018,44.85,61.435,71.932,77.568,64.674,45.169,39.071,38.459,47.909,62.548,72.782,77.29,69.003,39.046,34.625,36.44,47.222,61.046,72.55,78.754,77.406,40.731,34.073,37.284,50.823,65.279,75.702,75.532,75.696,48.988,37.688,47.913,61.977,70.178,74.646,87.196,85.451,67.092,53.248,67.674,83.066,85.904,85.434
92,69,68.25,39,83.757,84.361,72.057,61.59,70.506,86.781,88.582,85.47,79.596,79.668,68.44,60.161,63.147,79.761,82.263,79.366,89.578,87.729,67.726,58.253,63.464,85.107,92.584,94.165,89.564,81.921,62.195,57.575,59.105,79.068,90.048,89.783,89.087,71.2,57.577,58.17,54.353,68.512,86.614,89.506,86.044,60.599,45.158,46.438,44.772,52.542,74.21,85.426,89.359,69.955,50.48,51.237,52.653,59.696,80.51,88.488,89.5,75.7,53.167,48.17,48.487,60.434,78.837,88.312,87.946,76.867,47.382,42.581,43.605,55.369,72.306,84.412,89.67,85.817,49.022,42.827,45.273,64.219,81.256,89.328,82.473,81.232,55.751,43.467,56.098,71.936,80.652,82.95,90.048,89.366,73.912,61.796,78.233,90.917,88.843,88.427
93,69,69,39,86.854,85.859,70.822,55.651,64.75,83.578,84.675,86.488,75.03,76.563,64.535,56.161,62.739,78.008,81.171,80.057,89.179,87.681,62.561,54.13,61.522,82.125,89.936,92.074,87.625,80.41,60.686,58.334,57.579,76.406,86.735,88.409,85.451,70.021,52.448,54.043,46.202,62.604,78.745,82.92,81.895,59.492,45.709,48.145,43.898,51.909,69.675,79.642,87.46,69.668,49.43,50.748,50.234,60.04,78.272,86.554,85.772,73.388,50.693,47.537,47.445,58.27,73.66,83.595,83.111,74.998,46.684,43.137,43.847,55.333,68.446,78.584,86.276,83.995,51.114,46.555,49.856,65.464,78.916,85.6,85.151,84.059,60.635,50.668,62.057,76.682,82.427,84.171,92.227,92.943,78.512,66.063,80.401,92.04,90.507,90.116
94,69,69.75,39,87.528,86.069,67.63,55.061,62.401,80.208,85.334,87.224,72.31,72.848,58.017,48.228,53.331,69.583,74.189,75.4,86.121,84.898,56.223,50.485,53.229,70.559,84.208,88.171,86.545,78.169,53.955,52.897,52.3,67.173,81.392,87.812,84.815,69.719,47.758,48.589,43.292,57.62,72.597,79.942,74.185,56.789,39.903,41.065,38.46,46.661,60.965,71.477,76.101,58.997,40.313,40.598,40.381,48.442,63.02,72.561,69.698,59.607,42.07,38.953,36.942,45.735,56.438,65.332,66.588,61.073,39.257,35.459,36.8,46.302,55.345,62.299,73.096,71.787,44.923,40.155,42.676,54.249,64.07,69.751,76.722,75.564,56.329,48.191,55.479,68.705,72.988,75.872,90.579,89.78,73.422,62.81,76.121,89.638,91.778,88.903
95,69,70.5,39,88.707,87.175,67.137,57.02,62.542,80.983,88.297,87.68,74.82,73.394,57.547,48.4,52.703,68.933,74.174,73.813,88.652,86.076,58.946,50.421,50.285,68.962,86.996,91.319,88.131,76.879,51.001,45.834,47.813,64.453,81.319,88.337,88.016,70.183,48.16,48.85,46.37,58.816,73.587,82.337,75.742,60.078,42.204,42.742,41.826,50.914,65.4,74.71,73.645,56.825,40.47,40.343,38.156,45.792,59.717,68.656,65.25,55.641,38.476,35.246,31.826,41.694,52.595,60.684,63.354,56.202,36.434,31.879,32.204,41.818,52.385,59.692,75.264,72.508,46.91,38.889,39.56,53.611,65.237,71.774,73.71,72,55.194,47.326,55.248,69.062,74.669,74.716,89.663,88.021,71.417,62.146,74.259,88.035,91.835,88.429
96,69,71.25,39,85.145,84.59,69.298,59.052,64.044,82.988,87.544,85.515,76.822,76.631,64.801,54.189,56.933,70.571,77.319,77.211,92.503,88.563,66.814,54.459,54.495,76.888,94.356,95.959,89.731,77.458,56.695,48.591,49.159,69.124,84.69,90.471,89.296,70.151,52.608,51.001,47.428,60.249,75.47,84.595,83.222,63.105,50.057,52.376,43.371,55.065,70.182,80.841,83.372,61.655,48.079,49.142,39.818,50.261,65.354,77.001,67.313,54.601,37.673,35.767,31.554,41.9,52.903,62.644,67.048,59.001,37.05,34.336,32.273,42.513,53.796,62.548,84.658,79.97,59.462,47.853,50.03,65.494,78.69,84.864,82.612,79.304,64.812,53.923,61.182,75.345,82.718,81.441,90.847,89.625,75.611,65.923,70.858,84.858,89.953,88.841
97,69,72,39,83.812,84.981,79.254,71.84,74.928,88.928,90.426,87.761,81.525,82.662,76.675,65.409,60.937,73.46,80.308,81.982,97.355,91.859,73.921,62.48,58.555,83.249,97.787,99.346,92.382,82.697,67.906,61.451,58.578,78.941,91.251,94.836,93.925,73.949,58.274,56.374,47.785,62.221,81.441,90.554,91.379,66.733,56.385,59.294,43.016,56.689,73.796,88.73,92.911,66.525,53.641,55.747,42.338,54.349,71.913,86.358,66.134,49.199,34.011,31.497,28.249,39.743,50.514,60.739,64.82,56.629,36.219,33.599,32.205,43.295,53.029,61.556,88.49,82.714,66.427,54.786,57.503,74.903,87.876,91.899,92.012,87.166,75.524,61.577,65.913,78.512,86.813,88.274,92.303,90.811,83.591,76.034,76.782,89.542,94.129,93.051
98,69,72.75,39,90.856,92.316,87.991,82.424,81.153,92.038,94.76,94.888,87.825,88.52,84.915,74.75,65.181,77.644,85.049,86.996,101.17,95.744,78.735,67.188,60.198,82.733,96.577,102.137,94.42,87.817,76.146,68.935,64.712,82.86,92.773,95.481,95.84,76.076,58.448,58.601,48.514,63.7,84.637,93.597,92.847,69.57,59.328,60.846,47.709,60.914,78.15,90.973,94.739,71.003,57.583,57.165,46.455,60.378,78.945,89.995,72.928,53.365,35.339,29.65,26.591,41.643,56.204,67.188,68.142,56.015,37.416,31.89,31.225,44.185,56.844,67.186,90.152,86.511,66.408,57.143,56.225,76.304,88.83,94.067,97.665,93.935,81.778,70.748,73.834,85.759,91.84,94.312,94.482,92.48,90.622,84.442,86.979,94.747,97.614,97.189
99,69,73.5,39,94.545,94.127,87.166,79.56,74.69,85.255,92.817,96.001,88.125,87.353,84.592,71.594,61.611,73.016,82.762,87.376,95.874,92.439,78.365,64.82,57.492,73.708,89.906,97.729,90.233,85.219,75.043,65.56,60.737,73.706,84.524,90.809,83.525,68.387,51.494,51.207,44.242,56.958,73.305,83.262,82.967,65.585,53.617,54.721,46.691,59.231,72.32,79.74,89.999,71.279,57.471,55.528,49.82,64.265,79.111,86.65,82.129,65.815,44.109,36.642,32.347,49.192,65.828,78.356,75.033,62.994,42.606,35.386,33.097,46.026,61.435,72.928,88.614,87.647,69.634,59.114,56.257,73.827,86.161,92.382,96.178,93.274,82.716,74.478,73.109,84.369,89.104,93.155,93.226,90.106,85.833,78.896,80.114,85.1,88.752,90.962
100,69,74.25,39,90.101,88.314,79.183,69.606,65.222,74.255,85.309,90.558,84.01,80.947,73.007,59.651,52.957,63.08,73.441,81.596,89.923,86.773,73.664,60.693,53.641,66.187,82.588,91.695,82.771,80.231,69.101,60.578,55.167,65.57,78.416,86.324,71.028,62.367,48.276,47.312,40.732,50.599,61.991,71.368,70.633,58.975,44.708,44.946,40.617,51.118,60.746,67.273,80.722,67.005,52.349,52.585,49.841,60.593,71.324,78.586,82.255,72.771,50.908,43.509,40.581,56.412,70.369,80.444,75.989,70.824,48.009,40.436,39.259,51.883,63.56,72.14,85.126,83.591,70.467,58.034,55.473,70.261,83.408,88.996,90.203,85.857,78.943,71.181,66.659,75.366,81.74,87.581,91.963,87.887,80.548,75.874,74.138,79.083,83.562,86.571
