ix,iy,alon,alat,JAN00Z,JAN03Z,JAN06Z,JAN09Z,JAN12Z,JAN15Z,JAN18Z,JAN21Z,FEB00Z,FEB03Z,FEB06Z,FEB09Z,FEB12Z,FEB15Z,FEB18Z,FEB21Z,MAR00Z,MAR03Z,MAR06Z,MAR09Z,MAR12Z,MAR15Z,MAR18Z,MAR21Z,APR00Z,APR03Z,APR06Z,APR09Z,APR12Z,APR15Z,APR18Z,APR21Z,MAY00Z,MAY03Z,MAY06Z,MAY09Z,MAY12Z,MAY15Z,MAY18Z,MAY21Z,JUN00Z,JUN03Z,JUN06Z,JUN09Z,JUN12Z,JUN15Z,JUN18Z,JUN21Z,JUL00Z,JUL03Z,JUL06Z,JUL09Z,JUL12Z,JUL15Z,JUL18Z,JUL21Z,AUG00Z,AUG03Z,AUG06Z,AUG09Z,AUG12Z,AUG15Z,AUG18Z,AUG21Z,SEP00Z,SEP03Z,SEP06Z,SEP09Z,SEP12Z,SEP15Z,SEP18Z,SEP21Z,OCT00Z,OCT03Z,OCT06Z,OCT09Z,OCT12Z,OCT15Z,OCT18Z,OCT21Z,NOV00Z,NOV03Z,NOV06Z,NOV09Z,NOV12Z,NOV15Z,NOV18Z,NOV21Z,DEC00Z,DEC03Z,DEC06Z,DEC09Z,DEC12Z,DEC15Z,DEC18Z,DEC21Z
91,69,67.5,39,7.96,5.405,3.854,2.933,4.148,6.578,8.547,9.762,6.745,4.776,2.849,2.095,2.933,6.368,7.416,7.541,5.446,2.22,2.388,1.634,3.1,6.326,6.619,5.572,4.106,1.676,1.173,1.173,1.341,3.813,4.609,5.195,7.08,2.011,1.047,0.964,1.215,4.19,9.678,10.013,8.128,2.011,1.131,1.047,1.257,3.1,9.426,11.312,9.845,3.687,1.508,1.299,1.341,3.519,8.966,10.935,10.055,4.273,1.718,1.424,1.341,2.807,7.332,10.222,11.689,5.446,1.424,1.257,1.466,4.609,10.097,13.323,10.641,5.53,1.299,1.089,1.424,6.117,10.641,13.197,7.625,3.938,1.885,1.55,2.849,7.248,9.72,11.186,8.379,4.525,3.394,2.472,4.315,7.038,9.594,10.641
92,69,68.25,39,5.405,4.65,3.352,2.681,3.98,4.65,6.201,7.206,4.022,3.1,2.262,1.634,2.556,4.106,3.268,4.273,2.053,1.383,1.383,1.257,2.388,3.938,2.514,2.053,1.299,0.964,1.047,1.215,2.053,2.807,1.843,1.215,2.43,1.173,1.047,0.88,1.257,3.184,5.823,4.357,2.137,1.006,0.922,0.838,1.006,1.885,5.405,4.273,2.556,1.55,1.257,1.131,1.089,2.514,5.53,5.279,3.519,1.969,1.383,1.173,1.131,2.095,4.692,5.991,6.326,2.933,1.173,1.047,1.131,2.639,5.865,8.212,4.441,1.927,0.964,0.88,1.173,4.064,6.536,6.284,3.435,2.053,1.592,1.383,2.807,5.991,7.499,6.787,7.248,4.441,2.891,2.43,4.231,5.405,7.206,8.714
93,69,69,39,4.86,3.184,2.304,1.676,2.765,3.896,4.692,5.782,3.017,2.179,1.466,1.089,1.843,3.142,2.975,3.142,1.466,1.047,0.964,0.838,1.55,2.975,1.718,1.383,0.838,0.587,0.712,0.796,1.383,2.137,1.215,0.796,2.053,0.88,0.754,0.67,0.88,2.304,4.399,3.813,1.927,0.964,0.754,0.67,0.838,1.634,3.854,3.896,2.514,1.508,1.173,1.006,1.006,2.346,4.567,5.027,2.807,1.55,1.173,0.964,0.964,2.053,4.064,4.776,4.064,2.011,1.006,0.922,1.006,2.681,4.986,6.117,2.849,1.424,0.754,0.712,1.006,3.058,4.734,4.944,2.514,1.592,1.131,1.047,2.137,4.106,5.237,4.944,5.069,2.975,1.802,1.215,2.681,4.064,5.614,6.452
94,69,69.75,39,2.681,1.634,1.131,0.838,1.383,2.095,2.723,3.352,1.592,1.131,0.796,0.587,0.922,1.718,1.843,1.802,0.587,0.377,0.503,0.461,0.712,1.466,1.006,0.628,0.377,0.293,0.377,0.419,0.67,1.006,0.628,0.335,1.131,0.503,0.419,0.419,0.461,1.131,2.179,2.053,1.215,0.587,0.503,0.461,0.545,0.922,1.969,2.179,1.592,1.089,0.922,0.754,0.754,1.299,2.43,2.849,1.676,1.089,0.88,0.712,0.712,1.173,2.137,2.598,2.095,1.173,0.67,0.628,0.67,1.424,2.639,3.226,1.424,0.796,0.461,0.419,0.587,1.55,2.43,2.639,1.424,0.88,0.545,0.503,1.006,1.927,2.598,2.598,2.43,1.424,0.838,0.545,1.215,1.969,2.849,3.268
95,69,70.5,39,1.634,1.089,0.754,0.587,0.754,1.215,1.676,1.927,1.047,0.796,0.545,0.377,0.503,1.006,1.173,1.215,0.461,0.251,0.293,0.251,0.377,0.796,0.754,0.461,0.251,0.168,0.21,0.21,0.335,0.545,0.335,0.168,0.545,0.251,0.251,0.251,0.251,0.545,0.964,0.922,0.67,0.335,0.335,0.293,0.293,0.461,0.88,1.089,0.922,0.67,0.628,0.545,0.503,0.67,1.173,1.424,0.964,0.712,0.587,0.503,0.503,0.628,1.006,1.299,1.047,0.67,0.461,0.419,0.461,0.67,1.173,1.55,0.796,0.419,0.293,0.293,0.335,0.712,1.215,1.383,0.754,0.461,0.293,0.251,0.461,0.922,1.299,1.257,1.215,0.838,0.503,0.335,0.587,1.006,1.466,1.718
96,69,71.25,39,1.76,1.508,1.131,0.754,0.922,1.424,1.718,1.843,1.215,1.047,0.67,0.461,0.587,1.131,1.257,1.215,0.754,0.545,0.335,0.293,0.377,0.922,0.922,0.712,0.335,0.168,0.21,0.168,0.251,0.545,0.335,0.21,0.335,0.126,0.168,0.168,0.21,0.461,0.587,0.503,0.503,0.251,0.251,0.21,0.21,0.335,0.628,0.754,0.67,0.461,0.461,0.377,0.377,0.461,0.838,1.006,0.67,0.503,0.377,0.335,0.335,0.419,0.67,0.88,0.796,0.461,0.335,0.335,0.335,0.461,0.796,1.047,0.67,0.377,0.21,0.21,0.251,0.545,0.922,1.006,0.587,0.419,0.335,0.251,0.419,0.754,0.922,0.796,1.383,1.089,0.712,0.461,0.67,1.047,1.341,1.592
97,69,72,39,1.592,1.508,1.131,0.754,0.922,1.299,1.508,1.592,1.257,1.131,0.67,0.461,0.587,1.089,1.257,1.131,0.838,0.712,0.293,0.251,0.377,0.88,0.964,0.838,0.335,0.168,0.168,0.168,0.21,0.461,0.377,0.293,0.251,0.084,0.126,0.126,0.168,0.377,0.377,0.335,0.377,0.168,0.168,0.168,0.168,0.293,0.503,0.545,0.419,0.335,0.293,0.251,0.251,0.377,0.587,0.628,0.419,0.293,0.251,0.21,0.21,0.293,0.419,0.545,0.587,0.377,0.251,0.251,0.251,0.335,0.587,0.754,0.587,0.335,0.168,0.168,0.21,0.419,0.67,0.754,0.461,0.419,0.293,0.251,0.335,0.587,0.628,0.587,1.341,1.173,0.796,0.503,0.67,1.006,1.173,1.341
98,69,72.75,39,0.964,0.88,0.628,0.461,0.587,0.796,0.88,0.964,1.006,0.922,0.587,0.335,0.461,0.796,0.964,0.964,0.838,0.67,0.251,0.21,0.335,0.712,0.922,0.88,0.377,0.21,0.126,0.126,0.168,0.419,0.461,0.419,0.21,0.084,0.084,0.084,0.126,0.251,0.293,0.293,0.251,0.126,0.126,0.126,0.126,0.21,0.377,0.377,0.21,0.21,0.21,0.168,0.168,0.251,0.419,0.377,0.168,0.168,0.168,0.126,0.168,0.21,0.293,0.335,0.419,0.293,0.21,0.21,0.21,0.293,0.503,0.587,0.503,0.293,0.168,0.126,0.168,0.335,0.545,0.587,0.377,0.335,0.21,0.21,0.251,0.461,0.545,0.503,0.88,0.754,0.545,0.377,0.503,0.754,0.88,0.88
99,69,73.5,39,1.089,1.006,0.754,0.587,0.67,0.922,1.047,1.089,1.173,1.089,0.67,0.377,0.503,0.922,1.131,1.173,1.047,0.796,0.377,0.251,0.377,0.838,1.173,1.131,0.461,0.293,0.168,0.126,0.21,0.461,0.587,0.545,0.251,0.126,0.126,0.126,0.126,0.293,0.419,0.419,0.251,0.126,0.126,0.126,0.126,0.21,0.377,0.419,0.293,0.251,0.21,0.168,0.168,0.251,0.461,0.503,0.251,0.168,0.168,0.126,0.168,0.251,0.419,0.461,0.503,0.293,0.251,0.168,0.21,0.335,0.67,0.754,0.628,0.335,0.21,0.168,0.21,0.461,0.754,0.796,0.545,0.419,0.251,0.21,0.293,0.587,0.712,0.67,0.796,0.67,0.461,0.335,0.461,0.796,0.88,0.922
100,69,74.25,39,2.43,2.053,1.466,1.089,1.299,1.885,2.346,2.556,2.514,2.22,1.383,0.754,0.838,1.718,2.346,2.639,2.011,1.383,0.712,0.419,0.545,1.257,2.011,2.304,0.88,0.503,0.251,0.21,0.21,0.587,1.047,1.173,0.545,0.293,0.168,0.168,0.168,0.377,0.796,0.88,0.503,0.21,0.168,0.168,0.168,0.251,0.545,0.754,0.628,0.377,0.293,0.21,0.251,0.335,0.754,1.006,0.67,0.377,0.251,0.21,0.21,0.377,0.796,1.089,0.922,0.503,0.293,0.21,0.251,0.545,1.131,1.466,1.424,0.88,0.377,0.251,0.335,0.964,1.634,1.885,1.55,1.089,0.545,0.377,0.545,1.215,1.676,1.885,2.053,1.634,1.089,0.67,0.922,1.676,2.22,2.43
